dataset,method,recall_mean,recall_std,ndcg_mean,ndcg_std,delta_recall_vs_cf_percent,seeds
Yelp,CF-only (BPR-MF),0.0179,0.0003,0.0125,0.0002,,5
Yelp,Fixed lambda=0.5,0.0082,0.0004,0.0058,0.0003,-54.2,5
Yelp,BranchNorm-only,0.0242,0.0005,0.0165,0.0003,35.6,5
Yelp,PCGrad,0.0148,0.0004,0.0101,0.0003,-16.9,5
Yelp,GBAF full,0.0245,0.0005,0.0167,0.0004,37.4,5
Yelp,w/o BranchNorm,0.0183,0.0003,0.0126,0.0001,2.3,5
Yelp,w/o Confidence Gate,0.0252,0.0002,0.0172,0.0001,40.8,5
Yelp,w/o Regularization,0.0246,0.0002,0.0168,0.0002,37.9,5
Amazon Fine Food,CF-only (BPR-MF),0.5262,0.0028,0.4714,0.0013,,5
Amazon Fine Food,Fixed lambda=0.5,0.6272,0.0014,0.5963,0.0022,19.2,5
Amazon Fine Food,BranchNorm-only,0.6166,0.0025,0.5788,0.0018,17.2,5
Amazon Fine Food,PCGrad,0.6259,0.0026,0.5980,0.0025,19.0,5
Amazon Fine Food,GBAF full,0.6178,0.0009,0.5766,0.0024,17.4,5
Amazon Fine Food,w/o BranchNorm,0.6228,0.0019,0.5860,0.0027,18.4,5
Amazon Fine Food,w/o Confidence Gate,0.6174,0.0011,0.5829,0.0007,17.3,3
Amazon Fine Food,w/o Regularization,0.6187,0.0023,0.5792,0.0029,17.6,3
MIND,CF-only (BPR-MF),0.0658,0.0012,0.0309,0.0006,,5
MIND,Fixed lambda=0.5,0.0563,0.0028,0.0278,0.0012,-14.4,5
MIND,BranchNorm-only,0.0534,0.0018,0.0274,0.0005,-18.8,5
MIND,PCGrad,0.0523,0.0032,0.0262,0.0016,-20.5,5
MIND,GBAF full,0.0591,0.0020,0.0303,0.0011,-10.2,5
MIND,w/o BranchNorm,0.0603,0.0014,0.0305,0.0009,-8.4,5
MIND,w/o Confidence Gate,0.0577,0.0016,0.0296,0.0012,-12.3,3
MIND,w/o Regularization,0.0539,0.0025,0.0275,0.0011,-18.0,3
Amazon Books,CF-only (BPR-MF),0.0243,0.0004,0.0116,0.0002,,5
Amazon Books,Fixed lambda=0.5,0.0174,0.0005,0.0084,0.0003,-28.3,5
Amazon Books,BranchNorm-only,0.0342,0.0008,0.0168,0.0004,40.9,5
Amazon Books,GBAF full,0.0328,0.0012,0.0160,0.0006,35.1,5
Amazon CDs,CF-only (BPR-MF),0.0317,0.0011,0.0165,0.0006,,5
Amazon CDs,Fixed lambda=0.5,0.0236,0.0019,0.0119,0.0009,-25.6,5
Amazon CDs,BranchNorm-only,0.0500,0.0012,0.0253,0.0007,57.4,5
Amazon CDs,GBAF full,0.0496,0.0025,0.0251,0.0012,56.4,5
