method,metric,ML-1M,Amazon Fine Food,Amazon Books,Amazon CDs,Yelp,MIND
LightGCN-only,Recall@10,0.0525,0.5262,0.0243,0.0317,0.0179,0.0658
Fixed lambda=0.5,Recall@10,0.0513,0.6272,0.0174,0.0236,0.0082,0.0563
GradNorm-only,Recall@10,,0.6166,0.0342,0.0500,0.0242,0.0534
GBAF full,Recall@10,0.0528,0.6178,0.0328,0.0496,0.0245,0.0591
Concat-MLP,Recall@10,0.0494,0.5504,0.0250,0.0372,0.0219,0.0555
BM3,Recall@10,0.0418,0.4340,,,0.0310,0.0662
LATTICE,Recall@10,0.0510,0.5535,,,0.0306,0.0482
FREEDOM,Recall@10,0.0593,0.5401,,,0.0356,0.0648
LightGCN-only,NDCG@10,0.0739,0.4714,0.0116,0.0165,0.0125,0.0309
Fixed lambda=0.5,NDCG@10,0.0688,0.5963,0.0084,0.0119,0.0058,0.0278
GradNorm-only,NDCG@10,,0.5788,0.0168,0.0253,0.0165,0.0274
GBAF full,NDCG@10,0.0668,0.5766,0.0160,0.0251,0.0167,0.0303
Concat-MLP,NDCG@10,0.0636,0.5061,0.0122,0.0185,0.0143,0.0271
BM3,NDCG@10,0.0623,0.3583,,,0.0211,0.0320
LATTICE,NDCG@10,0.0708,0.5145,,,0.0206,0.0235
FREEDOM,NDCG@10,0.0784,0.4589,,,0.0239,0.0291
